EmployeeNumber,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,YearlyIncome
724,Y,No,13.0,3.0,3.0,80.0,0.0,10.0,4.0,2.0,9.0,7.0,1.0,8.0,No,91500.0
1671,Y,No,13.0,3.0,3.0,80.0,2.0,10.0,4.0,2.0,9.0,5.0,1.0,6.0,No,65640.0
1624,Y,Yes,12.0,3.0,3.0,80.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,Yes,18828.0
1778,Y,No,13.0,3.0,2.0,80.0,0.0,10.0,5.0,3.0,9.0,7.0,1.0,8.0,No,42468.0
930,Y,No,18.0,3.0,2.0,80.0,1.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,No,28524.0
514,Y,Yes,23.0,4.0,3.0,80.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,Yes,27420.0
669,Y,No,11.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,No,41364.0
32,Y,No,11.0,3.0,4.0,80.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0,No,229128.0
1015,Y,Yes,12.0,3.0,3.0,80.0,3.0,9.0,4.0,2.0,8.0,7.0,1.0,7.0,No,136992.0
1858,Y,No,15.0,3.0,2.0,80.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,No,32472.0
1383,Y,No,11.0,3.0,4.0,80.0,0.0,14.0,2.0,4.0,14.0,11.0,4.0,11.0,No,80244.0
894,Y,Yes,13.0,3.0,2.0,80.0,1.0,17.0,1.0,2.0,5.0,3.0,1.0,3.0,No,62772.0
336,Y,No,11.0,3.0,3.0,80.0,1.0,25.0,2.0,3.0,24.0,0.0,1.0,7.0,No,230424.0
208,Y,No,13.0,3.0,1.0,80.0,1.0,10.0,1.0,3.0,10.0,7.0,0.0,9.0,No,51828.0
684,Y,No,14.0,3.0,4.0,80.0,2.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,Yes,51432.0
362,Y,No,13.0,3.0,4.0,80.0,0.0,9.0,5.0,3.0,6.0,2.0,0.0,4.0,No,26112.0
364,Y,No,11.0,3.0,3.0,80.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,Yes,41820.0
428,Y,No,11.0,3.0,2.0,80.0,2.0,12.0,2.0,3.0,10.0,6.0,8.0,8.0,No,142536.0
1836,Y,No,13.0,3.0,1.0,80.0,0.0,5.0,4.0,3.0,5.0,3.0,1.0,2.0,No,56208.0
1893,Y,Yes,13.0,3.0,3.0,80.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,No,35196.0
837,Y,No,15.0,3.0,3.0,80.0,1.0,13.0,3.0,2.0,4.0,3.0,1.0,2.0,No,75456.0
1085,Y,No,13.0,3.0,3.0,80.0,0.0,10.0,3.0,3.0,10.0,6.0,0.0,8.0,No,40512.0
881,Y,Yes,19.0,3.0,1.0,80.0,1.0,10.0,3.0,2.0,10.0,2.0,7.0,8.0,Yes,24264.0
1725,Y,No,13.0,3.0,2.0,80.0,3.0,6.0,2.0,4.0,6.0,2.0,1.0,2.0,No,46884.0
1125,Y,No,16.0,3.0,3.0,80.0,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,No,88212.0
1361,Y,No,22.0,4.0,3.0,80.0,1.0,7.0,3.0,3.0,4.0,2.0,0.0,3.0,No,28644.0
1161,Y,No,13.0,3.0,3.0,80.0,2.0,9.0,2.0,3.0,6.0,2.0,1.0,3.0,No,68772.0
1428,Y,No,14.0,3.0,2.0,80.0,2.0,8.0,3.0,3.0,3.0,2.0,0.0,2.0,No,57348.0
975,Y,No,16.0,3.0,2.0,80.0,0.0,5.0,3.0,3.0,5.0,2.0,1.0,0.0,No,55212.0
1928,Y,No,17.0,3.0,4.0,80.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,Yes,13092.0
1317,Y,Yes,11.0,3.0,2.0,80.0,0.0,25.0,2.0,3.0,3.0,2.0,1.0,2.0,No,202560.0
1258,Y,No,11.0,3.0,3.0,80.0,0.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,No,30708.0
875,Y,Yes,14.0,3.0,4.0,80.0,0.0,8.0,2.0,3.0,2.0,1.0,2.0,2.0,No,30180.0
377,Y,No,23.0,4.0,4.0,80.0,1.0,5.0,3.0,2.0,5.0,2.0,0.0,4.0,No,24840.0
2025,Y,No,13.0,3.0,2.0,80.0,3.0,18.0,3.0,3.0,4.0,2.0,0.0,2.0,No,61572.0
543,Y,Yes,14.0,3.0,3.0,80.0,0.0,28.0,4.0,3.0,5.0,4.0,0.0,4.0,No,95628.0
24,Y,Yes,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,No,47328.0
1805,Y,No,13.0,3.0,4.0,80.0,3.0,13.0,3.0,3.0,11.0,10.0,3.0,8.0,No,31104.0
1239,Y,No,12.0,3.0,2.0,80.0,1.0,7.0,2.0,4.0,5.0,1.0,1.0,3.0,No,82224.0
1641,Y,Yes,15.0,3.0,4.0,80.0,0.0,18.0,2.0,2.0,4.0,2.0,3.0,3.0,No,95340.0
1443,Y,No,19.0,3.0,2.0,80.0,2.0,26.0,2.0,4.0,20.0,17.0,5.0,6.0,No,206028.0
970,Y,No,11.0,3.0,3.0,80.0,0.0,17.0,2.0,1.0,14.0,1.0,11.0,7.0,Yes,127308.0
340,Y,No,14.0,3.0,1.0,80.0,1.0,17.0,2.0,2.0,3.0,1.0,0.0,2.0,No,47040.0
1871,Y,No,14.0,3.0,2.0,80.0,3.0,7.0,2.0,3.0,2.0,2.0,2.0,2.0,No,46824.0
1117,Y,No,13.0,3.0,4.0,80.0,1.0,15.0,2.0,3.0,15.0,10.0,4.0,12.0,No,67116.0
1464,Y,Yes,13.0,3.0,3.0,80.0,1.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,Yes,44664.0
1941,Y,No,15.0,3.0,4.0,80.0,0.0,28.0,3.0,3.0,5.0,4.0,4.0,3.0,No,229932.0
1803,Y,No,18.0,3.0,3.0,80.0,2.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,No,66456.0
450,Y,No,12.0,3.0,4.0,80.0,0.0,20.0,4.0,2.0,4.0,3.0,0.0,3.0,No,58428.0
474,Y,Yes,13.0,3.0,1.0,80.0,2.0,13.0,2.0,3.0,7.0,7.0,6.0,7.0,No,71688.0
827,Y,Yes,13.0,3.0,4.0,80.0,1.0,8.0,4.0,3.0,4.0,3.0,0.0,2.0,No,72744.0
1677,Y,No,14.0,3.0,1.0,80.0,0.0,23.0,2.0,3.0,8.0,7.0,0.0,0.0,No,184548.0
1098,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,1.0,3.0,20.0,6.0,3.0,6.0,Yes,125784.0
511,Y,No,13.0,3.0,4.0,80.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,No,26928.0
1612,Y,No,15.0,3.0,1.0,80.0,1.0,10.0,2.0,3.0,10.0,7.0,4.0,5.0,No,52620.0
2061,Y,No,17.0,3.0,3.0,80.0,1.0,17.0,3.0,3.0,5.0,2.0,0.0,3.0,No,30852.0
372,Y,Yes,14.0,3.0,2.0,80.0,0.0,21.0,2.0,3.0,20.0,7.0,4.0,10.0,No,161952.0
103,Y,Yes,22.0,4.0,4.0,80.0,1.0,16.0,2.0,3.0,4.0,2.0,0.0,2.0,No,60252.0
819,Y,No,15.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,0.0,2.0,Yes,63888.0
900,Y,No,15.0,3.0,2.0,80.0,1.0,10.0,3.0,3.0,5.0,4.0,0.0,0.0,No,35676.0
1615,Y,No,13.0,3.0,1.0,80.0,1.0,9.0,3.0,3.0,9.0,7.0,7.0,2.0,No,56688.0
1639,Y,No,17.0,3.0,3.0,80.0,0.0,15.0,3.0,3.0,13.0,12.0,6.0,0.0,Yes,123672.0
717,Y,No,14.0,3.0,2.0,80.0,0.0,9.0,3.0,4.0,8.0,7.0,7.0,7.0,No,103452.0
1224,Y,No,13.0,3.0,1.0,80.0,3.0,10.0,4.0,2.0,10.0,7.0,8.0,9.0,No,41892.0
1998,Y,Yes,17.0,3.0,3.0,80.0,1.0,9.0,3.0,2.0,4.0,3.0,1.0,2.0,No,64920.0
1457,Y,No,11.0,3.0,1.0,80.0,1.0,28.0,1.0,4.0,7.0,7.0,4.0,3.0,Yes,121152.0
1802,Y,No,17.0,3.0,4.0,80.0,1.0,7.0,5.0,2.0,4.0,3.0,0.0,2.0,No,40524.0
558,Y,No,14.0,3.0,4.0,80.0,0.0,21.0,2.0,3.0,20.0,15.0,1.0,12.0,No,216492.0
1311,Y,No,12.0,3.0,1.0,80.0,1.0,10.0,6.0,3.0,9.0,2.0,6.0,7.0,No,55524.0
1293,Y,No,14.0,3.0,4.0,80.0,0.0,23.0,3.0,4.0,21.0,7.0,15.0,17.0,No,122772.0
1004,Y,Yes,11.0,3.0,2.0,80.0,0.0,7.0,2.0,3.0,5.0,2.0,0.0,1.0,Yes,25584.0
1434,Y,No,14.0,3.0,2.0,80.0,0.0,6.0,3.0,4.0,5.0,0.0,1.0,4.0,No,25188.0
184,Y,Yes,19.0,3.0,4.0,80.0,0.0,12.0,2.0,1.0,11.0,9.0,4.0,7.0,No,76164.0
1163,Y,No,20.0,4.0,1.0,80.0,0.0,6.0,3.0,2.0,6.0,5.0,1.0,3.0,No,68568.0
451,Y,No,16.0,3.0,1.0,80.0,1.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,No,119820.0
1070,Y,No,11.0,3.0,2.0,80.0,1.0,13.0,4.0,3.0,9.0,4.0,7.0,0.0,No,128232.0
483,Y,Yes,13.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,7.0,7.0,1.0,7.0,No,26556.0
1954,Y,No,12.0,3.0,1.0,80.0,1.0,6.0,5.0,2.0,5.0,3.0,0.0,2.0,No,64476.0
416,Y,No,11.0,3.0,2.0,80.0,1.0,10.0,3.0,2.0,8.0,7.0,7.0,7.0,No,83148.0
374,Y,Yes,14.0,3.0,3.0,80.0,0.0,37.0,2.0,3.0,36.0,10.0,4.0,13.0,No,228540.0
683,Y,No,12.0,3.0,4.0,80.0,1.0,10.0,4.0,2.0,10.0,9.0,8.0,8.0,No,32292.0
460,Y,No,16.0,3.0,3.0,80.0,2.0,8.0,2.0,2.0,6.0,2.0,0.0,4.0,No,76164.0
314,Y,No,14.0,3.0,1.0,80.0,0.0,10.0,3.0,4.0,10.0,7.0,0.0,8.0,No,105468.0
721,Y,No,11.0,3.0,1.0,80.0,0.0,20.0,4.0,3.0,20.0,7.0,11.0,10.0,No,54636.0
139,Y,No,14.0,3.0,4.0,80.0,1.0,17.0,2.0,4.0,1.0,0.0,0.0,0.0,No,61956.0
1635,Y,No,19.0,3.0,1.0,80.0,2.0,10.0,3.0,3.0,10.0,7.0,3.0,9.0,No,69240.0
352,Y,No,19.0,3.0,4.0,80.0,1.0,22.0,5.0,3.0,21.0,7.0,3.0,9.0,No,233232.0
580,Y,Yes,19.0,3.0,3.0,80.0,1.0,15.0,3.0,3.0,3.0,2.0,1.0,2.0,No,108852.0
1056,Y,No,22.0,4.0,2.0,80.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,No,12624.0
388,Y,No,18.0,3.0,1.0,80.0,0.0,10.0,3.0,2.0,10.0,7.0,0.0,9.0,No,54648.0
1556,Y,Yes,21.0,4.0,4.0,80.0,0.0,7.0,3.0,2.0,3.0,2.0,1.0,2.0,No,31728.0
194,Y,No,14.0,3.0,3.0,80.0,0.0,5.0,4.0,2.0,5.0,4.0,0.0,4.0,No,31584.0
305,Y,No,21.0,4.0,4.0,80.0,0.0,7.0,3.0,3.0,3.0,2.0,1.0,1.0,No,31464.0
246,Y,Yes,23.0,4.0,3.0,80.0,1.0,7.0,0.0,3.0,4.0,2.0,0.0,2.0,No,47148.0
1714,Y,No,11.0,3.0,3.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,Yes,18660.0
820,Y,Yes,11.0,3.0,3.0,80.0,1.0,26.0,3.0,2.0,26.0,14.0,3.0,0.0,No,201024.0
1850,Y,Yes,14.0,3.0,3.0,80.0,0.0,6.0,3.0,2.0,5.0,4.0,0.0,2.0,No,28548.0
1647,Y,No,17.0,3.0,1.0,80.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,2.0,No,42204.0
1955,Y,No,18.0,3.0,2.0,80.0,1.0,9.0,6.0,3.0,5.0,1.0,1.0,2.0,No,80004.0
1228,Y,No,11.0,3.0,3.0,80.0,1.0,12.0,3.0,2.0,6.0,3.0,1.0,4.0,No,88548.0
1961,Y,No,14.0,3.0,1.0,80.0,0.0,20.0,3.0,2.0,1.0,0.0,0.0,0.0,No,34296.0
1678,Y,Yes,16.0,3.0,4.0,80.0,0.0,21.0,2.0,3.0,2.0,0.0,0.0,2.0,No,84984.0
1875,Y,No,19.0,3.0,4.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,No,34272.0
1981,Y,No,12.0,3.0,2.0,80.0,0.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,No,55404.0
2060,Y,No,18.0,3.0,4.0,80.0,0.0,5.0,2.0,3.0,4.0,2.0,0.0,0.0,No,35592.0
1544,Y,No,13.0,3.0,3.0,80.0,1.0,9.0,3.0,3.0,7.0,7.0,0.0,7.0,No,116580.0
1033,Y,No,15.0,3.0,1.0,80.0,0.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,Yes,57324.0
1032,Y,Yes,13.0,3.0,1.0,80.0,0.0,30.0,4.0,3.0,5.0,3.0,4.0,3.0,No,164712.0
527,Y,Yes,11.0,3.0,2.0,80.0,0.0,5.0,3.0,3.0,5.0,4.0,1.0,3.0,No,53844.0
1336,Y,No,14.0,3.0,4.0,80.0,1.0,23.0,5.0,3.0,19.0,9.0,9.0,11.0,No,230244.0
924,Y,Yes,17.0,3.0,1.0,80.0,1.0,17.0,2.0,2.0,16.0,8.0,4.0,11.0,No,79032.0
507,Y,Yes,12.0,3.0,4.0,80.0,1.0,5.0,2.0,4.0,5.0,2.0,0.0,3.0,No,51120.0
1627,Y,No,15.0,3.0,4.0,80.0,1.0,11.0,3.0,3.0,10.0,8.0,0.0,7.0,No,36828.0
758,Y,No,14.0,3.0,4.0,80.0,1.0,5.0,2.0,4.0,4.0,3.0,0.0,2.0,No,30000.0
1243,Y,Yes,11.0,3.0,2.0,80.0,1.0,16.0,6.0,2.0,13.0,2.0,4.0,12.0,No,124524.0
124,Y,Yes,13.0,3.0,3.0,80.0,1.0,21.0,5.0,2.0,10.0,9.0,9.0,5.0,No,128076.0
1441,Y,No,22.0,4.0,4.0,80.0,1.0,5.0,3.0,4.0,3.0,2.0,1.0,0.0,No,24792.0
1267,Y,No,11.0,3.0,3.0,80.0,1.0,26.0,5.0,3.0,22.0,9.0,3.0,10.0,No,218556.0
895,Y,Yes,19.0,3.0,2.0,80.0,1.0,8.0,2.0,3.0,6.0,4.0,0.0,2.0,No,28272.0
487,Y,No,14.0,3.0,3.0,80.0,0.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,No,63096.0
1162,Y,No,13.0,3.0,3.0,80.0,1.0,4.0,0.0,3.0,4.0,2.0,2.0,2.0,No,30468.0
2014,Y,No,13.0,3.0,1.0,80.0,0.0,18.0,2.0,3.0,7.0,7.0,1.0,7.0,No,49296.0
692,Y,No,23.0,4.0,3.0,80.0,1.0,15.0,2.0,1.0,13.0,11.0,4.0,7.0,No,92700.0
1783,Y,Yes,17.0,3.0,3.0,80.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,Yes,28776.0
1077,Y,Yes,14.0,3.0,2.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,Yes,27876.0
96,Y,No,17.0,3.0,2.0,80.0,2.0,10.0,3.0,3.0,10.0,4.0,0.0,9.0,No,74640.0
455,Y,No,17.0,3.0,3.0,80.0,0.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,No,47796.0
836,Y,No,13.0,3.0,4.0,80.0,1.0,10.0,3.0,2.0,9.0,8.0,7.0,8.0,No,53208.0
775,Y,No,14.0,3.0,3.0,80.0,1.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,No,61452.0
1425,Y,Yes,16.0,3.0,4.0,80.0,0.0,15.0,3.0,3.0,5.0,4.0,0.0,1.0,No,111336.0
498,Y,No,16.0,3.0,4.0,80.0,0.0,7.0,1.0,3.0,7.0,5.0,0.0,7.0,No,63036.0
36,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0,No,122976.0
1362,Y,No,16.0,3.0,4.0,80.0,1.0,17.0,2.0,2.0,15.0,7.0,6.0,13.0,No,55668.0
1669,Y,Yes,13.0,3.0,2.0,80.0,1.0,10.0,3.0,2.0,10.0,0.0,0.0,9.0,No,50244.0
1094,Y,No,19.0,3.0,4.0,80.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,No,55452.0
454,Y,Yes,11.0,3.0,4.0,80.0,0.0,7.0,4.0,2.0,7.0,7.0,0.0,7.0,Yes,25428.0
1251,Y,Yes,12.0,3.0,4.0,80.0,0.0,6.0,2.0,2.0,6.0,5.0,0.0,1.0,No,81996.0
207,Y,No,14.0,3.0,4.0,80.0,0.0,9.0,2.0,3.0,9.0,8.0,3.0,7.0,No,107976.0
1881,Y,No,11.0,3.0,1.0,80.0,1.0,10.0,2.0,3.0,10.0,8.0,0.0,2.0,No,50364.0
1611,Y,Yes,14.0,3.0,1.0,80.0,0.0,10.0,3.0,3.0,10.0,7.0,1.0,4.0,No,69228.0
933,Y,No,19.0,3.0,3.0,80.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,No,27816.0
56,Y,No,15.0,3.0,4.0,80.0,0.0,9.0,0.0,3.0,9.0,8.0,1.0,7.0,No,104712.0
505,Y,Yes,13.0,3.0,3.0,80.0,0.0,30.0,2.0,3.0,5.0,4.0,1.0,2.0,No,199908.0
463,Y,Yes,14.0,3.0,1.0,80.0,2.0,7.0,2.0,3.0,7.0,7.0,1.0,7.0,No,99216.0
1027,Y,No,18.0,3.0,2.0,80.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,No,50724.0
967,Y,Yes,11.0,3.0,1.0,80.0,1.0,16.0,6.0,3.0,16.0,7.0,3.0,7.0,Yes,123900.0
1088,Y,No,18.0,3.0,1.0,80.0,1.0,20.0,4.0,2.0,19.0,9.0,1.0,9.0,No,105876.0
446,Y,No,14.0,3.0,3.0,80.0,0.0,9.0,6.0,2.0,7.0,7.0,0.0,1.0,No,56184.0
233,Y,Yes,16.0,3.0,4.0,80.0,1.0,6.0,3.0,2.0,5.0,2.0,1.0,1.0,No,36696.0
1166,Y,No,17.0,3.0,3.0,80.0,0.0,20.0,3.0,2.0,18.0,7.0,2.0,13.0,No,161988.0
293,Y,No,14.0,3.0,4.0,80.0,0.0,7.0,2.0,3.0,7.0,7.0,0.0,7.0,No,119772.0
1847,Y,Yes,22.0,4.0,4.0,80.0,1.0,15.0,2.0,3.0,1.0,0.0,0.0,0.0,No,83544.0
1150,Y,Yes,15.0,3.0,3.0,80.0,1.0,10.0,2.0,2.0,10.0,7.0,1.0,2.0,No,60672.0
1601,Y,No,18.0,3.0,4.0,80.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,No,32280.0
306,Y,Yes,14.0,3.0,3.0,80.0,3.0,10.0,1.0,3.0,10.0,8.0,0.0,7.0,No,146220.0
1233,Y,Yes,18.0,3.0,2.0,80.0,1.0,12.0,3.0,3.0,11.0,7.0,1.0,9.0,No,62640.0
1970,Y,No,20.0,4.0,3.0,80.0,3.0,9.0,2.0,3.0,9.0,7.0,2.0,8.0,No,71616.0
397,Y,No,12.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,8.0,0.0,7.0,7.0,No,53820.0
730,Y,No,19.0,3.0,3.0,80.0,0.0,32.0,3.0,3.0,5.0,1.0,1.0,3.0,No,177768.0
107,Y,Yes,12.0,3.0,4.0,80.0,3.0,17.0,3.0,3.0,13.0,11.0,1.0,9.0,No,63948.0
1701,Y,No,12.0,3.0,2.0,80.0,0.0,10.0,3.0,3.0,10.0,9.0,8.0,7.0,No,35148.0
1466,Y,No,11.0,3.0,1.0,80.0,3.0,15.0,3.0,3.0,2.0,2.0,2.0,2.0,No,65832.0
39,Y,No,11.0,3.0,4.0,80.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,No,29952.0
145,Y,No,20.0,4.0,3.0,80.0,0.0,23.0,1.0,2.0,13.0,12.0,12.0,8.0,No,89808.0
458,Y,No,18.0,3.0,1.0,80.0,1.0,8.0,3.0,3.0,8.0,7.0,0.0,7.0,No,74568.0
23,Y,No,16.0,3.0,3.0,80.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,No,185124.0
83,Y,No,13.0,3.0,2.0,80.0,3.0,17.0,2.0,3.0,17.0,14.0,12.0,8.0,No,121152.0
844,Y,Yes,16.0,3.0,2.0,80.0,1.0,9.0,3.0,3.0,9.0,8.0,0.0,8.0,No,153696.0
1655,Y,No,16.0,3.0,2.0,80.0,2.0,27.0,2.0,3.0,4.0,2.0,1.0,2.0,No,196956.0
1308,Y,No,12.0,3.0,4.0,80.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,No,28464.0
1809,Y,No,15.0,3.0,2.0,80.0,0.0,10.0,4.0,1.0,10.0,3.0,0.0,8.0,Yes,50556.0
462,Y,Yes,14.0,3.0,3.0,80.0,0.0,11.0,2.0,2.0,11.0,9.0,4.0,10.0,No,85716.0
1676,Y,No,14.0,3.0,3.0,80.0,3.0,29.0,2.0,3.0,3.0,2.0,1.0,2.0,No,191664.0
1045,Y,No,13.0,3.0,2.0,80.0,1.0,26.0,4.0,4.0,9.0,3.0,1.0,1.0,No,211800.0
378,Y,No,14.0,3.0,2.0,80.0,1.0,7.0,5.0,4.0,5.0,4.0,0.0,1.0,No,78024.0
1167,Y,Yes,12.0,3.0,2.0,80.0,0.0,22.0,2.0,2.0,21.0,9.0,13.0,14.0,Yes,165096.0
1967,Y,Yes,11.0,3.0,3.0,80.0,0.0,10.0,4.0,3.0,10.0,7.0,0.0,8.0,Yes,67404.0
1774,Y,Yes,14.0,3.0,3.0,80.0,1.0,15.0,3.0,3.0,15.0,14.0,0.0,7.0,No,48012.0
2015,Y,No,12.0,3.0,1.0,80.0,1.0,20.0,3.0,3.0,18.0,16.0,1.0,11.0,No,158472.0
1193,Y,No,25.0,4.0,3.0,80.0,0.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,No,30624.0
1499,Y,No,21.0,4.0,1.0,80.0,1.0,6.0,3.0,4.0,5.0,3.0,1.0,3.0,No,24768.0
386,Y,Yes,16.0,3.0,4.0,80.0,3.0,21.0,5.0,2.0,5.0,3.0,1.0,3.0,No,211008.0
406,Y,No,15.0,3.0,3.0,80.0,2.0,12.0,3.0,2.0,11.0,9.0,6.0,9.0,No,96240.0
807,Y,No,24.0,4.0,4.0,80.0,1.0,8.0,2.0,3.0,8.0,7.0,3.0,7.0,No,50928.0
1873,Y,No,20.0,4.0,2.0,80.0,1.0,19.0,2.0,4.0,5.0,2.0,0.0,4.0,No,31944.0
1397,Y,No,21.0,4.0,2.0,80.0,1.0,13.0,2.0,3.0,6.0,4.0,0.0,5.0,No,131040.0
228,Y,No,12.0,3.0,3.0,80.0,1.0,12.0,2.0,3.0,10.0,9.0,7.0,4.0,No,113028.0
987,Y,Yes,19.0,3.0,3.0,80.0,0.0,20.0,3.0,4.0,19.0,10.0,2.0,7.0,No,60804.0
1698,Y,No,18.0,3.0,4.0,80.0,3.0,14.0,6.0,3.0,14.0,11.0,2.0,13.0,No,24336.0
1350,Y,Yes,11.0,3.0,2.0,80.0,0.0,9.0,3.0,3.0,9.0,6.0,1.0,1.0,No,50988.0
567,Y,No,11.0,3.0,3.0,80.0,0.0,10.0,3.0,3.0,9.0,8.0,7.0,8.0,No,100944.0
772,Y,No,15.0,3.0,4.0,80.0,2.0,10.0,2.0,3.0,10.0,8.0,4.0,7.0,No,63708.0
1854,Y,No,22.0,4.0,2.0,80.0,2.0,10.0,1.0,2.0,6.0,3.0,3.0,3.0,No,35232.0
799,Y,Yes,11.0,3.0,2.0,80.0,2.0,9.0,4.0,3.0,5.0,3.0,1.0,4.0,No,65820.0
21,Y,Yes,12.0,3.0,4.0,80.0,2.0,7.0,5.0,2.0,6.0,2.0,0.0,5.0,No,39576.0
1515,Y,Yes,17.0,3.0,1.0,80.0,0.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,No,76656.0
475,Y,Yes,12.0,3.0,2.0,80.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,No,56832.0
1645,Y,Yes,14.0,3.0,4.0,80.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,Yes,65280.0
605,Y,Yes,21.0,4.0,4.0,80.0,1.0,10.0,5.0,2.0,10.0,9.0,5.0,8.0,No,88872.0
430,Y,No,19.0,3.0,1.0,80.0,0.0,9.0,5.0,3.0,8.0,7.0,1.0,7.0,No,29460.0
1240,Y,No,14.0,3.0,2.0,80.0,0.0,5.0,4.0,3.0,4.0,3.0,1.0,1.0,No,59400.0
110,Y,No,15.0,3.0,3.0,80.0,0.0,5.0,2.0,3.0,5.0,2.0,1.0,3.0,No,51900.0
238,Y,No,12.0,3.0,3.0,80.0,0.0,13.0,3.0,2.0,8.0,7.0,7.0,2.0,No,25056.0
